"age","gender","married","has_children","home_country","home_city","home_airport","sign_up_date","user_id","num_clicks","user_visit_frequency","avg_session_duration","session_duration_total","days_since_last_session","membership_days","bounce_rate","avg_click_rate","repeat_booking_count","num_flights","avg_num_bags","num_seats_booked","avg_km_flown","time_after_booking_days","flight_booking_rate","hotel_booking_rate","flight_discount_effectiveness","hotel_discount_effectiveness","money_spend_hotel","total_spent","customer_value","travel_type","user_perks"
"38","F","false","false","usa","colorado springs","COS","2022-04-17","152583","149","8","139.00","1112","616 days 02:26:00","1031","0.25","8.02","1","2","2.00","1.00","2265.72","8.00","0.13","0.13","0","0","426.00","1161.66","low_value_Customer","Business","Free Priority Boarding"
"46","F","false","true","canada","toronto","YKZ","2022-04-19","153982","150","8","138.50","1108","571 days 03:23:00","1029","0.25","8.11","3","6","0.33","1.00","1343.63","8.67","0.38","0.38","0","0","681.00","4622.22","low_value_Customer","Business","Free Priority Boarding"
"47","F","true","true","usa","new york","LGA","2022-04-26","160754","86","8","80.88","647","595 days 04:02:00","1022","0.50","7.99","1","2","1.00","1.00","527.63","11.00","0.13","0.13","0","0","428.00","615.24","low_value_Customer","Business","Free Priority Boarding"
"49","F","true","false","usa","kansas city","MCI","2022-04-30","164522","89","8","83.38","667","577 days 02:50:00","1018","0.25","7.96","1","2","1.00","1.00","1807.65","8.00","0.13","0.13","1","0","3029.00","3685.64","low_value_Customer","Solo","10% Discount on next trip"
"18","F","false","false","usa","tampa","MCF","2022-05-03","167852","63","8","58.00","464","657 days 06:46:00","1015","0.38","8.12","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"25","F","false","false","usa","atlanta","ATL","2022-05-06","171470","46","6","56.67","340","599 days 21:15:00","1012","0.17","8.06","1","2","0.00","1.00","17772.25","280.00","0.17","0.00","1","0","0.00","","low_value_Customer","Local","Free Meal"
"33","F","false","false","usa","grand rapids","GRR","2022-05-10","174997","97","7","104.86","734","576 days 18:33:00","1008","0.43","7.90","2","4","0.00","1.00","1538.28","7.50","0.29","0.29","0","0","448.00","2809.72","low_value_Customer","Business","Free Priority Boarding"
"30","F","false","false","usa","houston","IAH","2022-05-10","175032","127","9","104.33","939","571 days 02:51:00","1008","0.33","8.11","3","4","0.50","2.00","1394.54","5.50","0.22","0.33","0","1","3243.60","7680.60","low_value_Customer","Couple","Free hotel night"
"54","F","true","false","usa","houston","HOU","2022-05-15","181157","153","8","141.13","1129","584 days 13:19:00","1003","0.13","8.09","3","6","1.00","2.00","1213.46","5.33","0.38","0.38","1","1","4987.80","11224.38","low_value_Customer","Couple","Free hotel night"
"20","F","false","true","usa","phoenix","PHX","2022-05-16","182191","68","7","72.29","506","587 days 07:17:00","1002","0.43","7.98","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"55","F","true","true","usa","los angeles","LAX","2022-05-21","187212","128","8","118.75","950","612 days 05:47:00","997","0.25","8.13","3","6","0.67","1.00","2465.56","8.00","0.38","0.38","0","0","904.00","8359.42","low_value_Customer","Business","Free Priority Boarding"
"37","F","false","true","usa","fort worth","FTW","2022-05-23","189676","93","8","86.38","691","649 days 04:11:00","995","0.38","8.00","2","2","2.00","3.00","2350.54","4.00","0.13","0.25","0","0","5001.00","7489.62","low_value_Customer","Family","Free Cancelation"
"38","F","false","false","usa","tallahassee","TLH","2022-05-24","190866","186","9","153.89","1385","588 days 12:58:00","994","0.11","8.09","5","10","0.40","1.00","2423.74","7.20","0.56","0.56","0","0","1496.00","22306.00","low_value_Customer","Business","Free ugrade to business class ticket"
"29","F","false","false","usa","chicago","MDW","2022-05-28","195192","105","8","208.38","1667","623 days 06:57:00","990","0.38","7.22","1","2","0.00","2.00","1165.51","15.00","0.13","0.13","0","0","320.00","1108.58","low_value_Customer","Couple","Free hotel night"
"42","M","false","false","canada","ottawa","YOW","2022-06-06","204943","155","7","164.00","1148","605 days 11:11:00","981","0.14","8.10","6","12","1.33","1.50","1724.48","39.33","0.86","0.86","1","0","8735.00","42829.04","high_value_Customer","Local","Free Meal"
"39","F","true","false","usa","kansas city","MCI","2022-06-06","204997","93","6","244.00","1464","581 days 07:00:00","981","0.33","6.91","3","6","0.33","1.33","1277.33","7.67","0.50","0.33","1","1","582.80","6413.18","low_value_Customer","Local","Free Meal"
"41","F","true","true","canada","toronto","YKZ","2022-06-06","205044","134","9","110.33","993","614 days 19:54:00","981","0.33","8.03","3","6","0.33","2.00","2396.84","6.00","0.33","0.33","1","0","5642.00","22132.10","high_value_Customer","Couple","Free hotel night"
"40","F","false","true","usa","kansas city","MCI","2022-06-07","206011","156","8","146.13","1169","583 days 09:24:00","980","0.13","7.96","4","8","0.25","1.00","1452.06","5.50","0.50","0.38","1","0","1138.00","9510.72","low_value_Customer","Solo","10% Discount on next trip"
"23","F","false","false","usa","cincinnati","CVG","2022-06-16","216796","69","7","73.14","512","703 days 20:24:00","971","0.29","8.14","1","2","2.00","2.00","7494.89","196.00","0.14","0.14","1","0","2410.00","7411.74","high_value_Customer","Couple","Free hotel night"
"20","O","true","true","usa","long beach","LGB","2022-06-17","217114","59","9","49.89","449","595 days 07:19:00","970","0.67","7.81","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"39","F","false","true","usa","little rock","LIT","2022-06-17","217136","106","8","99.38","795","638 days 07:08:00","970","0.13","7.96","2","2","0.00","1.00","3095.34","7.00","0.13","0.25","0","0","659.00","1738.14","low_value_Customer","Business","Free Priority Boarding"
"41","F","false","false","usa","stockton","SCK","2022-06-20","220725","97","8","167.50","1340","614 days 02:33:00","967","0.50","7.29","4","8","0.25","1.00","2900.82","5.75","0.50","0.38","0","0","1402.00","17227.36","low_value_Customer","Solo","10% Discount on next trip"
"43","F","false","true","canada","halifax","YHZ","2022-06-23","224996","102","8","94.63","757","641 days 02:15:00","964","0.38","7.91","2","4","0.00","1.00","2488.13","8.00","0.25","0.13","0","0","231.00","3821.44","low_value_Customer","Business","Free Priority Boarding"
"44","F","false","false","usa","washington","IAD","2022-06-25","226367","114","8","105.50","844","595 days 01:05:00","962","0.25","8.08","3","6","0.67","1.33","1633.20","7.00","0.38","0.38","1","0","1864.00","7199.26","low_value_Customer","Local","Free Meal"
"27","F","false","true","usa","los angeles","LAX","2022-06-26","228195","116","9","95.78","862","620 days 06:14:00","961","0.22","8.02","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"35","M","false","false","usa","san antonio","RND","2022-06-27","228872","126","8","118.00","944","575 days 17:55:00","960","0.13","8.06","2","2","1.00","1.00","2953.67","5.00","0.13","0.25","0","0","1288.00","2306.42","low_value_Customer","Solo","10% Discount on next trip"
"18","F","false","false","usa","stockton","SCK","2022-06-27","229009","125","7","132.57","928","613 days 07:38:00","960","0.29","8.14","3","6","0.33","1.00","9136.58","117.67","0.43","0.29","0","0","474.00","17185.56","high_value_Customer","Business","Free Priority Boarding"
"26","F","false","false","usa","burlington","BTV","2022-06-27","229108","121","7","128.29","898","684 days 07:49:00","960","0.29","8.05","1","2","0.00","1.00","2510.97","168.00","0.14","0.00","0","0","0.00","","low_value_Customer","Local","Free Meal"
"48","F","true","false","usa","colorado springs","COS","2022-06-27","229330","129","8","119.63","957","574 days 05:26:00","960","0.13","8.07","4","8","0.25","1.75","1175.69","7.25","0.50","0.50","0","0","3521.00","15905.88","low_value_Customer","Local","Free Meal"
"18","F","false","false","usa","birmingham","BHM","2022-06-30","232647","100","8","93.88","751","619 days 07:08:00","957","0.00","7.94","2","2","1.00","1.00","1436.75","7.00","0.13","0.13","0","0","2343.00","2817.20","low_value_Customer","Solo","10% Discount on next trip"
"60","F","true","true","canada","ottawa","YOW","2022-07-15","249521","151","8","140.63","1125","587 days 04:59:00","942","0.25","7.99","2","2","1.00","1.00","3739.59","8.00","0.13","0.25","0","1","369.40","1653.44","low_value_Customer","Business","Free Priority Boarding"
"39","F","false","true","usa","chicago","ORD","2022-07-18","252835","117","8","108.25","866","581 days 17:36:00","939","0.25","8.11","5","10","0.60","1.00","1859.24","7.40","0.63","0.50","1","0","1460.00","18225.50","low_value_Customer","Solo","10% Discount on next trip"
"24","F","false","false","usa","miami","OPF","2022-07-22","258451","53","7","165.57","1159","608 days 08:32:00","935","0.57","7.35","1","0","","","","","0.00","0.14","0","0","2314.00","","low_value_Customer","Local","Free Meal"
"46","F","false","true","usa","bakersfield","BFL","2022-07-27","264470","118","8","111.00","888","617 days 06:11:00","930","0.00","8.00","2","4","0.50","1.00","2391.64","8.00","0.25","0.25","1","0","2127.00","5619.08","low_value_Customer","Solo","10% Discount on next trip"
"42","F","true","true","usa","austin","AUS","2022-08-06","276512","98","8","91.38","731","625 days 23:00:00","920","0.38","8.12","1","2","1.00","1.00","2409.25","10.00","0.13","0.13","0","0","100.00","891.38","low_value_Customer","Business","Free Priority Boarding"
"38","F","false","false","usa","louisville","LOU","2022-08-11","281952","158","8","146.38","1171","583 days 03:07:00","915","0.00","8.09","2","4","1.50","1.00","1966.83","7.00","0.25","0.25","0","1","236.30","2975.18","low_value_Customer","Business","Free Priority Boarding"
"51","F","true","false","usa","dallas","DAL","2022-08-12","283325","114","8","105.63","845","599 days 02:56:00","914","0.13","8.06","2","2","0.00","1.00","2838.44","5.00","0.13","0.25","1","0","2884.00","3790.54","low_value_Customer","Solo","10% Discount on next trip"
"41","F","true","false","usa","houston","HOU","2022-08-18","290123","190","9","155.89","1403","577 days 17:37:00","908","0.11","8.10","7","13","0.86","1.57","2533.38","6.14","0.78","0.67","0","0","4605.00","66954.43","high_value_Customer","Local","Free Meal"
"52","F","true","false","usa","new york","JFK","2022-08-24","297546","207","8","192.88","1543","584 days 02:11:00","902","0.00","8.01","5","8","0.75","1.50","1772.74","5.00","0.50","0.63","0","1","3542.00","16827.76","low_value_Customer","Local","Free Meal"
"47","F","true","true","usa","los angeles","LAX","2022-08-24","298253","98","8","91.75","734","608 days 02:25:00","902","0.38","7.95","1","2","2.00","1.00","4183.68","6.00","0.13","0.00","0","0","0.00","","low_value_Customer","Local","Free Meal"
"39","F","true","false","usa","atlanta","ATL","2022-08-25","299476","187","9","154.11","1387","572 days 09:33:00","901","0.00","8.15","1","2","0.00","1.00","1090.00","7.00","0.11","0.11","0","0","71.00","455.76","low_value_Customer","Business","Free Priority Boarding"
"21","F","false","false","usa","cleveland","CLE","2022-08-31","306165","89","8","82.50","660","584 days 12:32:00","895","0.25","8.09","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"60","F","true","true","usa","new york","JFK","2022-09-01","306819","83","7","185.00","1295","574 days 08:04:00","894","0.29","7.00","2","4","0.50","1.00","442.02","6.50","0.29","0.29","0","0","633.00","1273.64","low_value_Customer","Business","Free Priority Boarding"
"31","M","true","false","usa","new york","JFK","2022-09-05","312488","76","8","71.00","568","582 days 01:43:00","890","0.50","8.01","1","2","1.00","1.00","2171.53","6.00","0.13","0.13","0","0","299.00","1113.20","low_value_Customer","Business","Free Priority Boarding"
"52","F","false","false","usa","tulsa","TUL","2022-09-06","313724","135","7","240.43","1683","576 days 04:04:00","889","0.00","7.15","5","8","0.75","1.25","1791.59","5.50","0.57","0.71","0","0","3770.00","16042.56","low_value_Customer","Local","Free Meal"
"42","F","true","true","canada","winnipeg","YWG","2022-09-08","316527","139","8","130.00","1040","590 days 09:23:00","887","0.00","8.01","4","8","0.25","1.25","1940.68","7.25","0.50","0.50","0","1","5658.30","19577.42","low_value_Customer","Family","Free Cancelation"
"41","F","false","true","usa","indianapolis","IND","2022-09-09","317688","133","8","124.00","992","580 days 01:45:00","886","0.25","8.06","4","8","0.50","1.00","1634.69","8.00","0.50","0.50","0","1","1172.90","11082.82","low_value_Customer","Business","Free Priority Boarding"
"47","F","false","false","usa","mobile","BFM","2022-09-14","322867","82","8","77.00","616","583 days 10:59:00","881","0.38","7.93","1","2","1.00","1.00","920.00","6.00","0.13","0.13","0","0","1323.00","1669.08","low_value_Customer","Solo","10% Discount on next trip"
"40","F","false","false","usa","san diego","SAN","2022-09-15","324191","86","8","80.13","641","626 days 04:42:00","880","0.38","8.10","2","4","0.50","1.50","176.27","9.50","0.25","0.25","0","0","1610.00","2008.96","low_value_Customer","Local","Free Meal"
"56","F","false","false","usa","san diego","NZY","2022-09-18","328590","199","7","212.00","1484","588 days 18:06:00","877","0.14","8.03","3","6","0.33","1.67","3517.52","7.00","0.43","0.29","0","1","2596.25","20177.93","high_value_Customer","Local","Free Meal"
"40","F","false","false","usa","detroit","DET","2022-09-20","330764","175","7","184.14","1289","605 days 15:59:00","875","0.14","8.01","3","2","1.00","3.00","684.28","11.00","0.14","0.29","0","0","1094.00","1845.04","low_value_Customer","Groups","Discount at special events"
"44","F","true","true","usa","oklahoma city","OKC","2022-09-20","330893","133","8","124.00","992","591 days 01:06:00","875","0.38","8.03","3","6","0.67","1.00","1603.35","5.33","0.38","0.38","0","0","750.00","5919.66","low_value_Customer","Business","Free Priority Boarding"
"45","F","true","true","canada","london","YXU","2022-09-20","331039","134","7","143.29","1003","676 days 14:55:00","875","0.00","8.01","1","2","3.00","4.00","3192.23","252.00","0.14","0.14","0","1","3009.60","7591.34","high_value_Customer","Family","Free Cancelation"
"53","F","false","false","usa","minneapolis","MSP","2022-09-23","334787","119","8","110.88","887","584 days 11:36:00","872","0.25","8.00","3","6","0.67","1.00","1377.96","5.00","0.38","0.38","1","0","864.00","5413.02","low_value_Customer","Business","Free Priority Boarding"
"35","F","true","false","usa","santa ana","SNA","2022-09-25","337227","83","8","77.00","616","662 days 03:29:00","870","0.25","8.21","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"41","F","false","true","usa","washington","IAD","2022-09-25","338086","137","8","128.50","1028","600 days 12:58:00","870","0.38","8.01","2","4","0.50","1.00","2658.55","7.00","0.25","0.25","0","1","192.00","4118.76","low_value_Customer","Business","Free Priority Boarding"
"51","M","true","true","usa","san francisco","SFO","2022-09-27","340166","88","8","81.63","653","601 days 01:53:00","868","0.38","8.12","1","0","","","","","0.00","0.13","0","0","474.00","","low_value_Customer","Local","Free Meal"
"66","F","true","false","usa","el paso","BIF","2022-09-30","343928","122","8","112.75","902","572 days 02:56:00","865","0.25","8.07","2","4","0.50","1.50","11233.10","170.50","0.25","0.13","1","0","348.00","22550.48","high_value_Customer","Local","Free Meal"
"50","F","false","false","usa","las vegas","LSV","2022-10-03","347778","162","9","133.33","1200","598 days 12:17:00","862","0.22","8.12","5","10","1.00","1.60","2557.17","5.60","0.56","0.44","0","0","4474.00","46810.90","high_value_Customer","Local","Free Meal"
"29","F","false","false","canada","calgary","YYC","2022-10-04","348817","125","8","116.00","928","618 days 09:32:00","861","0.25","8.02","4","6","0.67","1.00","2522.87","5.33","0.38","0.50","0","0","2622.00","10869.72","low_value_Customer","Solo","10% Discount on next trip"
"68","F","true","false","usa","san antonio","SKF","2022-10-04","348863","81","8","74.63","597","602 days 07:03:00","861","0.25","8.11","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"49","F","false","false","usa","cincinnati","CVG","2022-10-04","349132","133","9","110.33","993","583 days 02:44:00","861","0.22","8.02","3","4","0.50","2.00","1082.50","6.50","0.22","0.33","0","1","3516.10","6400.34","low_value_Customer","Couple","Free hotel night"
"18","F","false","false","usa","lincoln","LNK","2022-10-05","350648","125","7","228.71","1601","583 days 12:38:00","860","0.14","7.14","1","2","0.00","1.00","1265.37","7.00","0.14","0.14","0","0","555.00","979.36","low_value_Customer","Solo","10% Discount on next trip"
"27","F","false","true","usa","milwaukee","MKE","2022-10-07","353271","84","8","78.88","631","583 days 21:29:00","858","0.13","7.97","1","2","0.00","2.00","1177.32","5.00","0.13","0.13","0","0","272.00","1088.80","low_value_Customer","Couple","Free hotel night"
"40","F","false","true","usa","new york","LGA","2022-10-07","353694","100","8","92.50","740","586 days 02:42:00","858","0.13","8.06","2","3","0.50","1.50","1336.33","7.50","0.25","0.25","0","0","1634.00","3018.11","low_value_Customer","Family","Free Cancelation"
"50","F","false","false","usa","detroit","DET","2022-10-07","354050","172","8","159.13","1273","587 days 08:46:00","858","0.25","8.17","5","9","0.20","1.20","2093.09","7.60","0.63","0.63","1","1","2512.60","20133.52","low_value_Customer","Local","Free Meal"
"50","F","false","false","usa","providence","PVD","2022-10-07","354260","116","8","107.88","863","679 days 02:59:00","858","0.38","8.05","2","4","1.00","1.00","3215.74","10.50","0.25","0.13","0","0","520.00","5180.04","low_value_Customer","Business","Free Priority Boarding"
"46","F","true","false","usa","tucson","DMA","2022-10-08","354311","98","8","92.00","736","670 days 14:23:00","857","0.50","7.89","2","4","0.50","1.00","3238.71","7.00","0.25","0.13","0","0","291.00","4582.56","low_value_Customer","Solo","10% Discount on next trip"
"54","M","true","false","usa","amarillo","AMA","2022-10-08","354950","100","8","94.13","753","607 days 03:20:00","857","0.38","7.92","1","2","1.00","1.00","2618.46","4.00","0.13","0.13","0","0","762.00","1683.08","low_value_Customer","Solo","10% Discount on next trip"
"35","F","false","false","canada","ottawa","YOW","2022-10-09","356046","101","8","94.00","752","591 days 02:30:00","856","0.25","8.01","2","4","0.00","1.50","1782.94","8.00","0.25","0.25","0","0","705.00","3840.24","low_value_Customer","Local","Free Meal"
"42","F","true","true","usa","san diego","SAN","2022-10-10","357737","109","7","229.86","1609","595 days 02:25:00","855","0.14","7.12","5","8","0.25","1.00","3074.10","6.50","0.57","0.71","0","2","2236.10","18782.50","low_value_Customer","Solo","10% Discount on next trip"
"52","F","true","true","canada","montreal","YUL","2022-10-11","359072","129","7","227.00","1589","653 days 04:54:00","854","0.00","7.01","3","6","0.33","1.00","829.29","8.00","0.43","0.43","0","0","690.00","3460.86","low_value_Customer","Business","Free Priority Boarding"
"42","F","true","false","usa","new york","JFK","2022-10-11","359080","126","8","119.00","952","588 days 18:42:00","854","0.50","7.98","4","8","1.00","1.25","4684.90","76.25","0.50","0.25","0","0","1383.00","42611.48","high_value_Customer","Local","Free Meal"
"56","M","false","false","canada","victoria","YYJ","2022-10-12","359653","127","8","118.00","944","584 days 09:11:00","853","0.13","8.08","2","4","1.00","1.00","2138.40","6.50","0.25","0.25","0","1","649.20","3786.52","low_value_Customer","Business","Free Priority Boarding"
"42","F","true","true","usa","houston","EFD","2022-10-13","361459","59","8","56.00","448","649 days 12:28:00","852","0.50","7.82","1","2","1.00","1.00","2403.54","6.00","0.13","0.13","0","0","165.00","952.82","low_value_Customer","Business","Free Priority Boarding"
"53","F","true","false","canada","winnipeg","YWG","2022-10-13","361759","139","9","113.89","1025","615 days 05:43:00","852","0.44","8.16","4","8","0.50","1.00","2133.31","7.75","0.44","0.33","0","1","295.70","13580.42","low_value_Customer","Business","Free Priority Boarding"
"31","F","false","false","usa","charlotte","CLT","2022-10-14","363535","154","7","162.57","1138","612 days 06:41:00","851","0.43","8.03","3","5","0.67","1.33","1888.47","6.67","0.43","0.43","1","0","1420.00","6582.15","low_value_Customer","Local","Free Meal"
"45","F","false","false","usa","los angeles","LAX","2022-10-16","365825","155","7","163.14","1142","609 days 05:53:00","849","0.43","8.20","2","2","1.00","1.00","383.05","6.00","0.14","0.29","0","0","2734.00","2863.26","low_value_Customer","Solo","10% Discount on next trip"
"29","M","false","true","usa","new york","JFK","2022-10-20","371201","105","8","97.13","777","663 days 03:32:00","845","0.50","8.03","1","2","3.00","1.00","1060.95","8.00","0.13","0.00","0","0","0.00","","low_value_Customer","Local","Free Meal"
"34","F","false","false","usa","charlotte","CLT","2022-10-21","372970","100","8","94.63","757","630 days 04:15:00","844","0.50","7.78","2","4","0.50","1.00","4048.09","6.00","0.25","0.25","0","0","408.00","5581.20","low_value_Customer","Business","Free Priority Boarding"
"38","F","true","true","usa","wichita","ICT","2022-10-21","373489","118","9","96.44","868","591 days 12:34:00","844","0.33","8.15","1","2","3.00","4.00","20504.14","223.00","0.11","0.11","1","0","1224.00","16126.62","high_value_Customer","Family","Free Cancelation"
"43","M","false","false","usa","milwaukee","MKE","2022-10-22","374331","138","7","150.00","1050","592 days 03:59:00","843","0.57","7.76","2","2","1.00","1.00","1338.86","6.00","0.14","0.14","0","0","6720.00","7192.52","low_value_Customer","Solo","10% Discount on next trip"
"35","F","true","false","usa","new york","LGA","2022-10-22","374340","78","9","64.44","580","594 days 02:49:00","843","0.56","8.17","1","2","1.00","2.00","16455.39","336.00","0.11","0.00","0","0","0.00","","low_value_Customer","Couple","Free hotel night"
"26","F","false","false","usa","detroit","YIP","2022-10-22","374341","105","8","98.13","785","621 days 16:03:00","843","0.25","8.05","3","0","","","","","0.00","0.38","0","0","6840.00","","low_value_Customer","Local","Free Meal"
"21","F","false","false","usa","houston","EFD","2022-10-22","375160","41","8","38.00","304","592 days 04:33:00","843","0.88","8.05","0","0","","","","","0.00","0.00","0","0","0.00","","No_trips_booked","Local","30% off first travel"
"53","F","false","false","usa","atlanta","ATL","2022-10-23","375729","142","8","131.13","1049","580 days 04:47:00","842","0.25","8.07","3","6","0.33","1.00","1877.02","6.00","0.38","0.38","2","0","1667.00","7859.96","low_value_Customer","Business","Free Priority Boarding"
"51","F","true","false","usa","cleveland","CLE","2022-10-23","375751","192","8","176.75","1414","595 days 09:12:00","842","0.13","8.17","3","6","0.33","1.00","1321.67","8.00","0.38","0.25","0","0","999.00","5244.36","low_value_Customer","Solo","10% Discount on next trip"
"43","F","false","false","usa","long beach","LGB","2022-10-23","376159","102","8","95.50","764","642 days 03:09:00","842","0.50","8.01","2","2","1.00","1.00","2175.01","9.00","0.13","0.25","0","0","708.00","1442.48","low_value_Customer","Solo","10% Discount on next trip"
"68","F","true","false","usa","new york","LGA","2022-10-24","377069","60","7","64.71","453","660 days 16:44:00","841","0.57","7.94","1","2","1.00","2.00","2911.73","196.00","0.14","0.00","0","0","0.00","","low_value_Customer","Couple","Free hotel night"
"38","F","true","false","canada","montreal","YMX","2022-10-24","377411","118","8","110.63","885","606 days 13:37:00","841","0.38","8.00","2","4","0.00","1.50","1493.45","5.00","0.25","0.25","1","0","1026.00","5060.44","low_value_Customer","Local","Free Meal"
"41","F","true","true","usa","nashville","BNA","2022-10-25","378565","136","8","127.13","1017","591 days 11:08:00","840","0.13","8.07","5","4","0.50","1.00","2021.57","4.50","0.25","0.63","1","0","8600.00","11438.52","low_value_Customer","Solo","10% Discount on next trip"
"57","F","true","false","usa","san jose","SJC","2022-10-25","379543","104","8","95.63","765","585 days 05:46:00","840","0.38","8.15","3","6","0.33","1.00","2196.66","6.00","0.38","0.38","0","0","1535.00","8465.72","low_value_Customer","Business","Free Priority Boarding"
"50","F","true","true","usa","oklahoma city","TIK","2022-10-26","380434","114","8","104.38","835","609 days 02:47:00","839","0.00","8.19","3","6","0.33","1.00","1929.34","9.33","0.38","0.38","1","0","1426.00","7850.56","low_value_Customer","Solo","10% Discount on next trip"
"45","F","false","false","usa","new york","LGA","2022-10-26","380436","107","8","99.38","795","622 days 12:43:00","839","0.13","8.11","1","2","1.00","1.00","576.18","9.00","0.13","0.13","0","1","594.00","820.50","low_value_Customer","Solo","10% Discount on next trip"
"47","F","false","true","usa","los angeles","LAX","2022-10-26","380757","122","8","114.13","913","586 days 04:46:00","839","0.38","8.04","3","5","0.33","1.00","1693.18","7.67","0.38","0.38","0","1","1310.35","3788.45","low_value_Customer","Solo","10% Discount on next trip"
"54","F","true","false","usa","louisville","LOU","2022-10-26","380874","117","8","109.00","872","572 days 03:20:00","839","0.25","8.03","3","6","0.67","1.00","1430.34","7.33","0.38","0.38","0","3","546.90","5588.40","low_value_Customer","Business","Free Priority Boarding"
"47","F","false","false","usa","san antonio","SAT","2022-10-26","380949","136","7","246.71","1727","574 days 04:05:00","839","0.00","7.03","5","10","0.20","1.00","2050.53","6.60","0.71","0.57","0","1","1854.60","20499.40","low_value_Customer","Business","Free ugrade to business class ticket"
"22","F","false","true","usa","san diego","SAN","2022-10-26","381259","97","8","91.00","728","585 days 06:30:00","839","0.38","7.93","1","2","1.00","1.00","3816.77","5.00","0.13","0.13","0","0","68.00","1506.96","low_value_Customer","Business","Free Priority Boarding"
"34","F","false","false","usa","san antonio","SAT","2022-10-26","381465","217","7","232.14","1625","593 days 04:53:00","839","0.00","8.01","4","3","0.00","1.00","1016.23","6.50","0.29","0.57","0","0","3261.00","4316.73","low_value_Customer","Solo","10% Discount on next trip"
"37","F","true","false","canada","halifax","YHZ","2022-10-27","382181","106","8","98.13","785","587 days 08:29:00","838","0.25","8.11","3","6","0.67","1.00","2089.94","5.33","0.38","0.25","0","0","920.00","7358.24","low_value_Customer","Solo","10% Discount on next trip"
"57","F","true","false","usa","st. petersburg","PIE","2022-10-27","382384","75","8","70.13","561","574 days 02:49:00","838","0.63","7.89","1","2","1.00","1.00","1239.90","9.00","0.13","0.13","0","0","156.00","613.26","low_value_Customer","Business","Free Priority Boarding"
